,Text,Class,Score
0,Im pretty good,1,0.5724056014340263
1,ok uhm so have you looked at my resume or should I alright so I guess ah I am course 6-7 here at M,0,0.19261288316730724
2,T ah which is computational biology so its a mix of computers science and biology and actually thats where my interest lie in applying like algorithmic kinda software engineering too datasets dealing with genomics and biology,0,0.11161482957460721
3,Uhm some of that activities that you do out side of school include Camp Kesem which is a summer camp that we run for completely free for kids whose parents have cancer as well as ah amphibious achievement which is ah a high school tutoring program for inner city kids in Boston,0,0.3562570264627702
4,So ah my interest kinda laid both in a little bit of the health care I imagined I was going be a Doctor growing up and then it came down to the tee and Im like well I can do engineering and still apply and do the same things and help a lot more people,0,0.1768600974688769
5,Ok uhm one of the things we have to do for Camp Kesem is orgin or fundraise all the money to ah to run the camp which is over $50 000,0,0.33141366362000685
6,00,0,0.2387154408523499
7,Ah so one of the things that I individually spearhead every year is called the Camp Kesem I say you did auction where actually my fraternity and I go out and solicit uhm donations in the form of gift cards ah to raise money for a date auction where we actually sell dates and then we use this money obviously we donate it to Camp Kesem,0,0.38569783328078444
8,I spearhead the entire event and I kinda orginize everyone into committees and groups and I send the people out and make sure everything goes according to plan,0,0.4730831849790573
9,Ahh I guess the easiest team project I just I just had was last semester uhm I worked on this six double o five project which is algorithm or software architecture,1,0.7642480901805394
10,and we were put in a group of 3 people and it was standard you know we signed the contract everyone is supposed to work equally but it ended up being by the end of it that someone didn't like put there fair share of work in,0,0.13183543477660367
11,Ah essentially we talked to him we didn't really get it out we actually had to go to some of the T,0,0.1773623877837992
12,A's we got a little bit ah and that kinda like pushed him forward so I mean I guess what I am showing is like Im not affraid to go to the right method or like authority like where in cases this situation presents itself,0,0.3731609464718653
13,Uhmmm,0,0.2387154408523499
14,I would say for this job ah Im a little technically underprepared,0,0.4730831849790573
15,Ah I've yet I have only taken the introductory software classes so far and as well as introductory bio classes but I think just from sheer interest and sheer effort i will be able to kinda overcome these obstacles,0,0.27356360199342006
16,Ah Im very interested in the subject of computation biology and I think that I will be able to contribute a lot to this field uhm I've had a good amount of experience and I think I will be a solid intern,0,0.27356360199342006
17,Great how about you?,1,0.8452898993011722
18,I'm a little [???] by the resurgence of the hurricane but,0,0.3938730607112474
19,Yeah we were half way here and it just turned on a switch lightening winds and everything,0,0.33141366362000685
20,So yeah,0,0.07018898356424853
21,Okay um I'm a Junior here at MIT um I'm studying aerospace engineering um my my interests are generally in food mechanics control um design um mostly aircraft but protozoan [???] problems in general,0,0.32230062042973917
22,Um I like to um I like to play music listen to music um I run do some other team sports I like to play hockey,0,0.4716025486650735
23,Um okay so uh one of the projects that I've worked on since coming to MIT um was during my Freshman year I worked in the in the uh Artificial Intelligence group in uh Cesil [sp] which is a lab a computer science lab here at MIT,0,0.4716025486650735
24,And um I was working on a project with another student actually another Freshman uh basically we were tasked with the sort of bringing this project starting this project bring it up to the level where it could be presented at conference,0,0.05293056977477877
25,Um together and we were kind of left to work out the cooperation on our own and um there was um as the conference got closer about halfway um about halfway through the year Freshman year ah there were a bunch of issues that we had with um with um basically meeting the expectations that had been set before us in terms of what we were going to present,0,0.2977831921157918
26,Um and finishing in a timely basis,0,0.39245568688584626
27,And it came down to whether we were really going to be able to and there were other basically parts other people's work in the same group where work depended on us finishing in time so it really um really we had to make a decision weather we were just going to basically get done what we could but to the quality standard that the standard of quality that was expected of us or to um try to finish everything and to have other people's work potentially suffer because of our [??] hadn't really been up to snuff,0,0.033447486732009805
28,And um and so we kind of had a little bit of a disagreement about this but what ended up happening was um I went and talked to the professor and um sort of decided to um make them aware of what was happening because they weren't really aware that we had fallen behind,0,0.02268282555041385
29,And um sort of got the other student on board who had disagreed with me uh to do this uh and to let everyone else know what was going on and uh we ended up presenting a lot less than what was originally expected but um I think it was very much for the better,0,0.19821442239249298
30,Okay um so another another thing that I spend a lot of my time doing is called is an organization called Design Build Fly here um it's it's a design competition um run by the IAA which is an aerospace professional organization,0,0.3022838906250506
31,And um and uh you can enter a team from any university or group basically anywhere in the world,0,0.08967900877249617
32,It's mostly US university though,0,0.3887681302185169
33,And um these university teams basically build a plane um design it build it fly it as the competition name suggests and you compete them all at the end of the year compete against the other universities at the end of the year at one competition,0,0.14724051066147714
